,Comment
676,"Please, don't ruin India's pride....Give them justice,
But entering in prohibited area is a big no to them"
677,It feels really shameful and dejected to see our wrestling champions being treated like dogs. They are protesting for a good purpose and not getting any positive response.
678,They need justice ⚖️
679,Shameful
680,If your country is run by a cow and u believe the mootar helps then good luck to you guys raaam is really doing wonders mate
681,Vagwan kre is police walo ki ghar se koi mar jaye
682,Shame on us
683,"😢😢😢😢😢😢😢😢😢😢😢😢😢😢

✊✊✊✊✊✊✊✊✊✌✌✌
""Ache din""??????????"
684,🤕🤕🤕BJP . Come back Democracy
685,For just 1 person the whole country is falling down.
686,Aur kro bjp bjp desh ko barbad karke rakh diye salo ne😢😢😢
687,Shame on you police!! Is this how our wrestlers were being treated
688,do you know why they are protesting
689,Bjp hatao desh bachao
690,Abhi bhi waqt hai...aankhe khol lo
691,Aisa nahi karna chahiye wrestler ke sath galat baat 😞😞
692,Welcome to ram rajya
693,TOOLKIT..
694,"""Modi hai toh mumkin hai"""
695,First rapist brijbhushan now vomit shah's police sexually assaulted these wrestlers who had won accolades for this shitty country
696,"Ture fact AND SAD FACT.. indian Prime minister,indian home minister, UP CM ,feared by a criminal named bushan..."
697,सरकार का रवैया शर्मनाक है
698,Aur jitate Raho.. aur zyada samman milega
699,If this is the condition of international athletes imagine ordinary citizens in their place
700,Should stop watching cricket.. why no one is demanding justice.. even with an MP
701,This make us ti feel _--_-- shame to be a indian😢😢
702,"He bhagwan, ye kaise din dekhne pad rhe hain, jo Desh ke liye medal laya, ushke saath ye bartab 😢.. Shame on our democracy and government 😢"
703,Shame on bjp government
704,They are medalist but keep there thought in his knee. Thats why they are planning for future in participating politics
705,Ye champion apne village me hi hai....Desh ke baki state se inki match Hui nahi hai...
706,Shame shame
707,What is this😵‍💫shame
708,Ghor kalyug aa gya hai lekin kuch log andhbakht bane baithe hai
709,Yeh bahut pehle ho jana chahiye tha.
710,Ye dhekho jinpe Desh ko gaurv tha aajj enke sath kya Kiya ja Raha hai mtlb ki crime karne vala political party ka hai to vo kisi bhi crime ki kar sakta hai or uske khilaf jane vale koi bhi unhe esi tarah gasit ke leke jayenge es medal 🏅 lane vale ke sath kya Kiya ja Raha hai esi tarah Raha to koi bhi medal lane se pahale ye sochakr hi rh jayega ki Desh ke liye medal lane vale ke sath kya hota hai🥺😥
711,Shame on u dont do like dis
712,"shame on dehli police
our wrestler are disrespected like this 
shame on them"
713,"Supreme court should immediately take action against modi ,amit shah and BJP party who rescue Rapist ...✍️✍️✍️✍️✍️"
714,The coach is laughing 🤣😂🤣
715,এই আচরনে কেন্দ্র সরকারকে ধিক্কার জানাই
716,Arvind khujliwals police
717,😂😂😂
718,Well done police
719,"Jisko arrest karna usse darathi hai 
Kamjor ke saath aaisa hi hota hai"
720,Nikal do inki badmashi
721,24 me rajshahi khatam karni pdegi
722,Shame on police and main for politicians
723,बेटी बचाव बेटी पाढाओ
724,"Delhi police is so stupid , distracting the focus of the world from the grand spectacle of P.M modi's  high moment going to the new parliament house , to the ruckus with the wrestlers"
725,😢😢😢
726,Is Govt of india yet sleeping..?Modi govt have time to inaugrate new parliment but its sad to see our PM not said any single word on this issue..😢
727,Na sportsman na farmers na middle class na business men except adani kisi ko toh modi samaj nhi aaraha lekin bhakto ko aaraha hai😂😂
728,"Man look what india has become.....
So many protests all over....
Govt should at least listen to everyone protesting and just try to do a solution but instead our PM has to visit Forign countries for better relationship...lol
India itself is becoming mess and govt. Is talking about forign affairs....
No need to reply to me ypu you are Modi's boot licker..."
729,"Man look what India has is becoming dy by day....
So many protests all over....so many open crimes....
Govt should at least listen to everyone protesting and just try to do a solution but instead our PM has to visit Forign countries for better relationship...lol
India itself is becoming mess and govt. Is talking about forign affairs....
No need to reply to me you are Modi's boot licker..."
730,Shame on government
731,Shame on IPS offr who do their job
732,Shame on modi government due to these reasons
733,Churchill had once said that Indians are bloody scoundrels. Now these Indians are proving him right.
734,Same on you delhi police
735,"Desh k liye ye sharmindgi ki baat hai bahut hi takleef ho rhi hai ye drishya dekh kar jo hmare desh ki shan hai unse aaj badtameezi ki ja rhi hai , dhikkar hai aisi system par jo aaj ye din dekhna pada , 
I'm full support for my dear Wrestlers love you always"
736,"It's not  good
Sarkar ko iski bharpai karni padegi"
737,kuch ghatiya log abhi bhi bjp or feku modi ko defend kar rhe hain... shame on you
738,"लोकशाहीचा क्रूर अमानुष छळ 🌑🌑🎯🇮🇳 भारत देशामध्ये काय चाललं आहे ❓ याचा आम्ही जाहीर निषेध करतो,, 👎🥷 पोलीस यंत्रणा सत्ताधारी च्या अधिकारांमध्ये,, अन्याय,, करत आहे का ❓ नालायक बेजबाबदार वर्तन ✍️🎯🇮🇳"
739,Wrestlers with their medals made India proud. With one word modi could made their protest stopped voluntarily but why to drag those matters in public oh ho the ministry is at fault. How come a common man could protest for the injustice.
740,"This was in the making for decades.The blame rests on the politicians holding top posts. Now be it Brij, or Praful Patel or Jay Shah. Anyone who is not a sportsperson has no right to head a sporting body. May be someday, the top court will intervene, because the shameless politicians won't."
741,Very good goverment...  what a shame
742,Bsdwalo jo desh ke liye medal layi hai unki to respect kar lo agar sharam ho to 😡
743,"This modis new nation.... india is no more republic now....
Shame on greatest crickets and other celebreties... no one supporting those...."
744,Yaar ab kyu koyi aage ake nahi bolta ? Ya tabhi bolte hai jab ye Jeet ya haar kar aate hai😡
745,N. Modi murdabad....
746,Shame shame on pm police😡😡😡😡
747,shame on this gvt ...
748,Shame on the police and and ministers😡😠
749,"Well u all here blaming govt but go search  before bkaming why they r protesting they r againt rule they just want to take that rule back if u all dknt belive go and check out sakshi malik statment of taking rules back  , what is the rule the rule is every player has to give trial before participating in national and international match but they all want privileges that we dont wanna give trials we want direct nomination. So pls dont be fool friends. That was the reason why only wrestlers from haryana were getting opportunities not other states."
750,THIS IS A PRESIDENCY  ROLL OF DELHI. LIKE THIS.
751,Shame on you 😡😡🤬🤬. First know what happened. Wrestlers are overacting and they are totally politically motivated for doing this protest. Shame on Wrestlers also. They are sportsperson not God. And now I can understand this is agenda of George Soros to defame Modi and BJP.
752,same on you bhajpa 😡😡😡
753,"This is how our heroes are treated by the Modi government. BJP is siding with an assaulter instead of standing with people who brought happiness and laurels to the country. Shame on you Modi, shame on you BJP"
754,Ab ki baar BJP.
755,Bjp will pay for their pain
756,When u vote chaiwala u get such nuisances..
757,Today I understand that why most people not believe police
758,RIP india democracy
759,We will bring back BJP in 2024. And if BJP doesn't come in power in 2024 then ready for another partition in India and India will become another Pakistan.
760,This wrestlers protest is only a political game motivated by opposition.  Shame on wrestlers that they doing protest in political agenda. Now I can understand this protest is fund by George Soros to defame Modi and BJP.
761,Shame on wrestlers. They doing protest by political motive. And fund by George Soros to defame Modi and BJP.
762,The world is watching wow
763,Yeh es desh ka award haa gold wala
764,I thought Modi is a powerfull person in the world. But now I come to know the most powerfull person by name brizbhushan.
765,BJP days are numbered now in Haryana. Wait and see
766,Yahi he real india
767,Shame on wrestlers.
768,Bahut galat ho Gaya hai
769,This is real india.
770,"OMG  ! What going on? No respect to r pride really my heart break  💔 after seeing this , whatever is in the Bible i can see is really happening"
771,Overacting
772,😂😂😂
773,@Subhranil Das chal behen k lode sale randi k aulad it cell wala tere ghar p roz aata hai kya
774,Shame on wrestlers. This protest is totally politically motivated. You blind fully supporting the wrestlers.
775,@Aishwarya Chaturvedi why you hoping like that bro
776,I hope your family goes through the same
777,One  is fighting for women and the other is obstructing being a woman.😓😓
778,"all these protest things just rise before the elections eg farmers protest before Punjab elections, now this one just b4 the election"
779,Shame on wrestlers.
780,"Don't just arrest them, kick them on there butts and arrest them forever.... Other wise these fake drama continues..."
781,"Cruelty  happened against women as shown in kerala story,all were silent now again happening all are silent."
782,"Jab baat ansuni ki jaati hai.... to vo baat to bigad hi jaati hai bhai. Bhagwan ne bhi kaha h jab jab janha janha naari ka apmaan hoga vo raajkaaj, vo satta vo parivaar sabka patan hoga."
783,"Raja ko baithaya hai gaddi pr toh raja wali karwahi hi milegi 🙂
Shame on these stupid and  illiterate politicians!"
784,😥
785,"भारतीय लोकशाही अब हुकूमशाही कि और बड रही है ,😥😥"
786,"Dallon ki auladon, Apni mummy pe lagao jaa k posco act kehna ki brijbhushan ne pela hai, kyuki bacchi to baalik thi, jiska farzi certificate daala gaya fir me, 
Aur woh bhi kya kaan me gandi baat boli 😂😂😂😂😂😂😂😂😂😂😂😂
Saalon goo toh ghulami kaa khaate hi ho, lekin kaan aur aankh me bhi daal liya hai
Thoo hai tum logon pe ab jaao aur jaao aur kyuki kuch toh bolna hi hai toh yahi bolna ki bhai tumhari mummy ko pela hai brijbhushan istifa do. 😂😂😂😂😂😂😂😂"
787,Rip indian democracy bjp end is near
788,Modi ji apne criminal netaoo ke sath hamesha karde hai.
789,"Dont blame police 
Wi bhi bandhe hai upar se,agr wo nhi krenge to unki job jaegi"
790,"Even the police hasn’t beaten them. They were walking to the parliament. 

They are using their fame and legacy to mislead. Supreme Court already said to give test and prove , what’s the point of walking to PM? 

This is PR stunt planned perfectly for parliament inauguration. They are using sympathy, and their fame knowing Indians support athletes. 

Go to court let the verdict come and tell them to give their dope tests and all"
791,Mother chod police and politicians
792,Increadible india 🙏💔
793,Just to save the one BJP member whole country's democracy is at stake. Really it's a shame 😞
794,I stopped playing basketball 🏀 for University when I faced politics and political involvement.
795,I stopped playing basketball 🏀 for University when I faced politics and political involvement.
796,Ye sab na doglapan hai
797,Karman hits  back something.. these people destroyed many youngster carrier... ..  who are working as daily wager.. becoz of these .. and cant do anything in life..
798,"Beti patao, beti bechao"
799,Downfall shuru ho rha hai country ka 😢😢
800,"Lagegi aag to aayenge ghar kai zad ne, yahan pe sirf humara makaan thode hai!!"
801,"Protesters where hindu believers, still no justice, government did not ask wrestler to go to Pakistan"
802,Why are the police pulling her like this?
803,saved india plz
804,420 BJP sarakar
805,"Ye wrestlers h inko khud saram nhee h beech sadak pe bhutiya khel dikha rhe h , udhar virat trophy k liye ready kar rha team ko 😂"
806,Kya ho Raha hai Desh mein 😭😭
807,Tabi to khte hai hum punjab wale we hate modi
808,Not going to vote for bjp if matter is not solved
809,"Oh God! My heart aches when I watch our wrestlers in this condition..they made our country proud and they were denied the basic right to protest.. Humiliated, dragged ,beaten and no one is there to help them out.. Sad!!"
810,Shame on government for not protecting our Olympic medalist.
811,Olympic me har ke aate h ...or apni mn ki krnenki sochte h
812,This is very shameful situation for india ।।।
813,India is no place for sport only cricket Othergame 😂😂😂😂 Satta
814,Teach the lesson to stop this kind of protest in future
815,No no  bjp and andhbakt need more religion fight they want temple more than development
816,Wah Modiji Wah! Thank you Modiji.
817,Media = stone
818,"@Jayant kumar Mishra kya bolti band Bhai? Tumhari beheno ko raste par kisne Aisa behaviour dikhaya toh how would you feel? U want them to protest lifetime to a blind government? They brought proud to ur country.. Atleast treat them how they deserve.. supporting a local gangster while treating badly a woman? Jahan pe tumhe insaaf nhi milta, wahan pe seer tapkne se kuchh ni hoga..ek rape case solve hone ko iss mulk me saalo lag jaate he, sabut hone ke baad bhi... iss Desh me farmers ki sarkar nhi sunti..toh unka kya khaak sunegi? Innocent have always crushed under the feet of the fraud politics of this people.. Andhbhakt mat bano..Aur Haan apni baat rakhnaa buri baat nhi he par kisiko badtameezi dikhana.. bohot buri baat hee..toh behtar hoga aap sabse tehjeeb se baat karein... every thing has a way to be done and has its limits..so don't cross it.."
819,@NAM JESUS 💜 aur mere comment ka reply do..kya hua ab??bolti band ab?? Logic se baat karo.
820,"@NAM JESUS 💜 abe ch utiye, dont judge me..tere jaisd chu tiya bas judge krna janta hain. Main kissi party ko support nai krta hu"
821,@Jayant kumar Mishra Tum pehle tameez sikhlo aur mujhse badtameezi se baat karna band Karo..I will support whoever I want...this is a open comment section..mujhe Jo  likhna he woh mein likhungi..I felt what happened to those girls was wrong and I stated my opinion about it... I'm not a bandwagon like u..Agar tum bjp ki andhbhakt ho toh apni bakwas aur kahin pe Karo.. I'm a independent citizen and I know what I should do.. so don't shout at me and better admit urself in some schools and get proper moral education..
822,Haan be kya bola tha tune? Dekh le aaj ka news..kya hua...sabne case wapas le liya...chu tiya...ab bol..ab bolti q band hai?jab rape hua hai rab case wapas q liya?? Itna kya drama kr rhe yelog
823,I m happy shai hua.. in kirae ke tattu unke upar Sahi baje lathi. Good job police...👍
824,Height of autocracy... Shame on you Central Government.
825,Humse kya matlab hume to Mandir chahiye😂
826,"सिर्फ लाठी चार्ज किया जाय 🙏।
बहुत टाइम खराब हो रहा हे🙏"
827,"BETI BACHAO 
BETI PATAO - Darinda😢"
828,"No shame left whatsoever, we are progressing towards dictatorship. If people of such stature can't raise their voice and get the government to listen then how common people will be treated. It pains me see what is being done to national heros. There should be mass movement to boycott the government. I am not voting for current government in next election, I think as a common man that is the only choice we do have though I am quite sure the the government is so ignorant because of blind followers and even more so of blind educated followers"
829,I support bjp....jo unhone ache kam kiye bs unke liye.... But hmare desh ke jo wrestler hmara proud h unke sath bahut galat ho raha hai.... Or galat to galat hota h..... Chahe koi bhi party kre 🙏
830,Kas Delhi police Etna brijesh bhushan ke khilaaf action leti sarm de doob maro
831,Are they Kidding...Is this the way to treat players......Shame on BJP government
832,Majaa  nahee  aayaa
833,If yogi adityanath were there?
834,Aur vote do Besharam Jahil Party ko
835,"😂😂 Achha hua, I'm so happy put these selfish creatures in the jail for lifetime... leftist communist telling their garbage opinion on comment section like this garbage comrade Indian express do which is fundamentally either my way or high way... You guys doesn't know a fact, can't take a fact as it is and always ready to manipulate news the way it suits your propaganda..  Shame on you"
836,Shame on Modi
837,Ye anjam bjp ko bhari padega 2024ke election me hamare players bad saluki kar rahe hai. bjp wale suno ye karnama pura bharat dekh raha hai
838,Khelo India
839,"Artists are getting killed, protesters are being called terrorists, international athletes are being beaten by police. What is happening in India??"
840,Step down ModiGovt.
841,#AcheDin
842,Modi to giyo
843,Agar ram satya he es ravan ko hatao 2024 mein
844,Rip bjp govt
845,Shame on bjp
846,Rip Indian democracy......
847,A sab accha nahi hai Desh ke liye
848,Bhai andha h kanun andhe h satta chalane wale kinse jya ummed lagana galat ho toh sabhi public ek sath ho jao sab sudhar jaye gein
849,Uss neta ko ander ko ander karo na kitne sare case hai uspe jo power yaha dikha rhi hai police uske pass dikhaye
850,Agar hamare sports persons ki aisi halat hogi to koi desh ke liye 🏅 nhi layega
851,"BJP has a very bad reputation now,this time BJP may be uprooted from India."
852,"You need to follow the rules, it does not matter you are celebs or normal civilians, Rules are equal to everyone, police men and women were doing their job, so don't blame them. Wrestlers were using there muscle power so police women used their muscle power too. Wrestlers forced police to do so."
853,ɪ ᴄʀy ᴡʜᴇɴ ɪ ꜱᴇᴇ ꜱᴩᴏʀᴛ ᴩᴇʀꜱᴏɴ ʟɪᴋᴇ ʜᴇʟʟ😢😢😢😢
854,😥😥
855,"To iss tarah sarkar hmari betiyo ko bcha rhi h..
#RIP govt."
856,ʙᴇᴛᴛᴇʀ ɪɴᴅɪᴀ ᴅɪᴇ ꜱᴏᴏɴ
857,"ꜰᴜᴄᴋɪɴɢ ᴩᴏʟɪᴄᴇ ɪɴᴅɪᴀɴ , ᴩᴏʟɪᴄᴇ ɪɴᴅɪᴀɴ ʟɪᴋᴇ ᴡɪʟᴅ ᴀɴɪᴍᴀʟ ɴᴏ ᴇᴅᴜᴄᴀᴛᴇᴅ ,ɢᴇᴛ ᴊᴏʙ ʙy ᴍᴏɴᴇy ᴀɴᴅ ʙy ʀᴜʟᴇʀ ᴩᴀʀᴛy"
858,"It is a sad reflection that our PM, HM, Sports Minister are quiet when women are being manhandled by Police since Delhi Police is under the control of Central government. Is Politics of new Parliament more important than action on such Minister who has been accused earlier also of molestation of sports person. I am honestly hanging my head in shame due to the treatment meted to our sportsmen who have repeatedly urged the PM and HM to take action on such Minister"
859,"Shame on BJP 
Its not the police 
Its hands behind them"
860,Yrrr plz🙏🙏🙏😭😭
861,They are so brave
862,Insaf milna chaiye #WRESTLER PROTEST
863,"Sad for the police, if there's a police who denied to do this, the are pretty fired/ suspended/ transferred by now..."
864,"May Allah save and show right path for life survive,Amen"
865,Tera natok chal rehi teri ghar je bahar😂😂😁😂😛😂😁😂😁😂
866,Mm beef yummy
867,😢😢😢😢😢😢😢😢
868,Bike thief brij bhushan
869,Can't believe it .Can it happened in a democratic country.We need to think of it .😢
870,she shows that spirit of sportswoman .....she fought single handedly with this cheap govt ......
871,SHAME ON THE GOVT.NO WONDER INDIA IS NOT WINNING ANY GAMES.
872,So sad 😢😢😢
873,Bjp hatao desh bachao
874,India ☕
875,Kya ho gaya Hamare desh ko hum Maniushya Kitna gir chuke h paisa itna important h?
876,And at the same time  pm was inaugurating the new parliament with proud
877,Ye jo log comment mai rokar dikha rhe h inme se adhe log bhi agr vha par support mai pahuch jate to mai manta. Ghar par bethkar democracy ka rona rote rahna bas ..........
878,Aur bolo Har Har Modi ghr ghr MODI yahi hoga agr wo prime minister rha toh..
879,Shame
880,Send these police to terrorist or chinese clash area to fight against real enemies.
881,Shameful day 😓
882,Acche din a gaye mitro....😅😅😅😅
883,Democracy khtm ho gyi ab India se
884,Kabhi usko sharam aayi hai??😂
885,Bhai aisa he h....jbb elections honge tbb boht acha bann jayenge aur inka hak de denge dekhna
886,"If this is how the goverment is treating the champions and the pride of our nation for protesting, imagine what they would do to us common folk. Shame"
887,Rip india democracy
888,Bjp nai haad pr kardi hai ab😢
889,Shame on Modi shame
890,Is din ko ham nhi bhulenge🥺😥🕯️
891,After watching this no young kid ever aspire to become a athlete.
892,Help them plss... Our athletes is our pride
893,Good job police..  clearing hooligans from roads...got protest somewhere else..not in delhi... Delhi roads are not a place of protest..we have work to do not wait in traffic for you protest
894,Ajeeb Hain hum Hindunstani..Desh bechne walon ko Neta bana dete Hain..aur desh ki ijjat rakhne walon k Sath aisa salook karte hain..
895,Only happens in a country which wants to be the viswaguru glory to Our Prime minister next year a lot of people will join Olympics ❤
896,Shame on Indian government!
897,Shameful
898,Proud of you Modi ji
899,Hmarre desh me ab ahi dekhna baaki tha fool pm se
900,Shameful act Modi kaha ha tu
901,@K Sharmahow important  modi as a prime minister is way beyond our mind 🤏
902,Lol they are not like modi who use hi mother for views😂
903,Akshada
904,plz all gays suppport thatgirls
905,Even Olympic medalist are treated this way then just imagine common citizen 💀
906,painful
907,Biggest shame for ruling govt
908,There is no justice in this illiterate PM government... such a shame where women are treated like this...
909,Government are unable to solve a small issue and this government and administration have to take a right action to resolve the players's issues with respect...
910,"50000CORES RS +25000CORE RS DRUGS HUNT, WHO IS THE KERALA DON  OR A BUSINESS MAN OR A POLITITION OR A SMUGGLER, WHO HE IS"
911,Phle kisan phir jawan aaj phalwan aur kro modi modi tera baap aur bhagwan h na andbhkt gor gabesh bss ek din media aur police pila jaye modi h to mumkin h phir dekhenge tmko krte modi modi
912,Bhut dhakka ho reha
913,"They need justice ⚖️
This is so cruel to watch 😢
This country is so messed up 😢😢"
914,Aise police ko doob marna chahiye 😢
915,"Acha kiya, sale congressi agenda wale, paid protests"
916,Desh ka hal
917,Jai hind the goverment is blind in kiladiyo ne apna pura jivan des ke liya lagaye h aur inke sath annya ho raha h aisi sarkar ke hone ya nahone ka koi matalb nahi?
918,the VOTE power..
919,Doob k mar jye aisi govt shram name di koi chjjj nhi rhi kya tha hamara desh kya bna Diya zalim govt ne chiiiiiiii aisi govt p
920,Khapparbharni khi ki
921,Champian are treated like this 😢 in our country
922,"If their Champion Wrestlers are treated this way.
Imagine what these radi¢al MODI police and supporters did to Minorities who protested.
Thousands protesters were k!lled by MODI's police during their protest."
923,Society housefull lucha and laughing my India
924,Bada hi kamjor democracy hey . constitution sirf garibo ke liye hey ye article me add karna chahiye tha
925,"Abbey aao na godi media, bhakton ab....bharatiya hone ke naate khoon nahi kholta kya tumhara."
926,Very sad😢
927,Mar jao salo tum hamesha hi aaisa hota sale ghus khor neta aaram se AC me rahte hai or hamare desh ka nam Roshan krne vale Khiladi kaho or sipai kaho inke sat ye sab hota hai bahen ke lavdo mar jao chullu bhar pani me dub ke koi jarurat nh hai aaise kanun or minister ki bc sale 😡😡😡😡😤
928,New India
929,This is called democracy.... Wah !BJP Sarkar... Wah! Modiji
930,British rule
931,Yrr this is ridiculous
932,Why there is still no inquiry for the accused? We are in a nation with such progress? Are peaceful protest not our right?
933,Acche din aa gye India mai kaha hain modi godi kerne wale
934,"""No player want to be disrespect like this for lie."""
935,Shame on the system
936,I can't see it
937,They need to deal with more harder way.
938,"shameful, wake up indian youth..."
939,This is a fake propaganda. Nobody is above india  LAW.
940,Ye kya ho raha hain..It's shameful 😢
941,World is watching
942,"India@75 since it's a male dominated society.... And sarcastically democracy is by the people for the people... But somewhere we have lost by the people... It is by the so called elites..... 
It's better to win a medal this time.... and ask the world.. To give u their citizenship and then say what happened with u and what happens in your country...... We often say hmare yahan to aisa nhi hota... I would say... Hmara yahan to aisa he hota rha hai.. Or aisa he ho rha hai or hoga bhi..... They are not concerned about this.. Bcz it is not happening with any politicians son or daughter.. This is we.. The people.. Not the person"
943,"Need bunch of police to arrest her? LOL 🤣

Peaceful Hlndus, look what they did to christianity in manipur it just a great example 🤣🤣🤣"
944,In benchodo ne andolon ko dhandha bana rakkha hai 😡😡😡😡😠😠 jisko bhi kuch karva ho sidha andolan karte hai madarchod 😠😠😠😡 hatao sab desh virodhiyo ko dalle 😠😠😠
945,"True meaning of ""Amritkaal"""
946,🙏
947,Delhi police ...very nice god job
948,Jai shree ram modi jindabaad ram jindabaad
949,"Whoever wrong in this matter comes later . But I'm really very sad to see our athletes are not behaving like grown ups and the people in power are quite.

Why so much chaos?"
950,Well done police. Law and order first..
951,😂😂😂😂
952,Beti behen beta bhai boleh jab medal laye par jab insaf mange tou bash unke awaz dawaneh meh kosis ishi bharat kehliyeh pata nae kitno neh apni janh deh di par sachaiii meh bash rang hi badla hai abhi b wohin hai haar jaga sachaiii seh durr
953,it's really very painful to watch.
954,😢😢😢
955,😂😂😂
956,Akhand bharat bn raha .......ye to humesha ka hai aawaj uthao ya sawal pooch lo ya iljaam lga do ....bjp ke kuch mahan netao ki jal jati hai
957,i am not proud to be an indian😢😢
958,"Time for another 1857 in India.

Modi is like Britisher 2.0"
959,Lol they are slowly establishing dictatorship😂
960,Please vote bjp
961,India is a place where people are treated like garbage.
962,"Shame on you police, shame on modi. This country defense criminals and kills the innocents."
963,Yeh sahi nahi ho raha he!
964,Kabhi yehi haal hamare kisaano kaa bhi thaa
965,Shame Shame Puppy Shame
966,Shameless Govt. Nothing to say.
967,Oh my god what am I seeing feeling very bad
968,"Tanashai chal rahi hain,aaj dar and hatred ka mahol create ho gaya hain"
969,अनपढ लोगोको खुर्ची पर बिठायेंगे तो येसाही होगा cutiya❤️सरकार
970,Jab itne bade khiladi log ko justice ni mil paa rha h too yha aam public ko milna dur ki baat h 😢
971,SHAME .
972,@Your Friendly Degenerate No....There is no sarcasm when it comes to the integrity of India....these tool kit are exposing themselves everyday
973,Is this sarcasm?
974,"Misinformation is unbelievably dangerous.

Do you not know that Delhi police is under the control of central government?

Do you not know that brij bushan is a BJP'S important MLA or somehow did he became a member of AAP..?

I am not supporting any party but just stating the facts.

Now tell me what can Kejriwal do?"
975,Pure congress workers. Tikait sympathiser
976,Its shame to our country
977,Where is women commissions
978,Baat to sahi hai
979,"Nothing will remain...BJP will again come up with so communal thing and get voted to power again.....when one gets huge majority in democracy, he becomes a dictator"
980,"Mere desh basiyo Kaya jat ke khun ki koi keemat nhi, he Mahadev maf karna itna apman nhi Saha ja raha"
981,Fark kya reh gya india or pakistan mein ab😢.news chanels abhi bhi pm ke khilaf kuch nhi dikha rhe
982,This is what the corrupt government does to the talents of India. First praise them for your vote bank and then forget them for you post
983,Shame on  us
984,jail mey dalo salo ko.champion banke masti chadi hai mc bc ko bsdk
985,One of the reason I hate being an Indian
986,Shrmnaak
987,Durbhagya hamare desh ka jaha desh ke nagino ko ye din dekhna par raha h
988,"I'm hurt to see that our government has failed to assist our champions who added to the glory of this country!
 Nothing worst can happen in a country where corrupt leaders are prioritised over bright talents. 

I'm sorry to those wrestlers, despite being citizen of democratic country we cannot deliver them justice."
989,Stand with wrestler 💯🔥🔥🔥🔥
990,Government should punish Brijbhushan 😢😢.These is how we treat our national gems. Extremely Shameful. Simply don't understand why the government is protecting that corrupt and shameless politician so much.
991,Finally good decision was taken by police
992,Wow what a joke...we indians are already struggling to win medals at the Olympics even after having a billion people and the ones who are getting them are being treated like stray animals...better they leave and live in countries which respect their talents.
993,"Beti bachao beti padhao 
Modi ☕☕"
994,Insab ko ajj kal ka hi din mila tha
995,# Ban modi # Ban bjp
996,"Same Congress ne kiya thaa aur Desh ke youth ne delhi mein protest krke Congress ko wipe out kr diya,acha hoga Modi ji jaag jaye aur inse bhi milkr situation ko thek kre."
997,​@Aryan Kadam lol😂
998,Court Mai case chalu hai 😒
999,Those who support this govt should be socially boycott
1000,"Hope that the IPS officers in vedio might get promoted as DGP or get some gallantry award for their enormous courage and determination in their duty from BJP head quarters.Opposition parties,Kisans,Khap Panchayats ,All unions belonging to lower level employees should join protest immediately .Govt should understand strength of poor and middle class people.If BJP can politicize inauguration of new parliment opposition can politicize this issue to get justice for poor and needy."
1001,Shame on BJP
1002,Now no mainstream media will show this...
1003,Maja hi a gaya dekhkar
1004,Now Noone has a right to peacefully protest also
1005,Govt is grabbing the freedom from people. They never fought with police. They are just expressing their voice peacefully. Democracy is in danger.
1006,Or Kahan hair Modi ?
1007,Shame on bjp
1008,Shame of indian govt
1009,Shame shame
1010,Shame on you Indian government
1011,Shame on BJP
1012,Tihad bhejo
1013,"Shame on delhi police, they are wait to happen the same with their families and friend."
1014,हारो तो हारो ijjat मत  उतारो
1015,They are protesting against a BJP MLA(Brij Bhushan) and criminal(he himself admits) who is really powerful as he had sexually harrassed nearly 10 female wrestlers including a minor.
1016,Shame on bjp government. The way they are treating wrestlers just to save one corrupt politician.
1017,shame on delhi police
1018,"This is same to us #we are failed Indians , we are unable to support our heroes
So sad everybody of us just sleeping in their homes and watching this."
1019,Shame on you!
1020,Kya andhbhakt abhi bhi apni aankh se patti nhi hatayenge?
